                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.51479,                0.40205,                0.92352,                0.93986,                   0.83,                0.87306,                0.70598,                0.86222,                 0.7265,                 1.1536,              0.0009332,              0.0009332,              0.0009332
                     67,                0.49454,                0.40625,                 0.9267,                0.88646,                 0.8211,                0.86537,                0.69732,                0.85124,                0.75999,                 1.1362,             0.00092825,             0.00092825,             0.00092825
                     68,                0.50099,                0.39309,                0.93091,                0.88156,                0.76466,                0.85567,                0.69406,                0.89916,                0.74308,                 1.1604,              0.0009233,              0.0009233,              0.0009233
                     69,                 0.5184,                0.39859,                0.91958,                0.80105,                0.80697,                0.85534,                0.69268,                0.93456,                0.80353,                 1.1782,             0.00091835,             0.00091835,             0.00091835
                     70,                 0.5142,                0.37647,                0.93372,                0.93123,                0.76911,                0.86992,                0.68167,                0.93996,                0.74365,                 1.1916,              0.0009134,              0.0009134,              0.0009134
                     71,                0.49001,                0.38969,                0.91526,                0.89201,                0.83985,                0.89136,                0.69631,                 0.9473,                0.70313,                 1.1957,             0.00090845,             0.00090845,             0.00090845
                     72,                0.54641,                0.43074,                0.92866,                0.91924,                0.86767,                  0.913,                0.69758,                0.96604,                0.72993,                 1.1799,              0.0009035,              0.0009035,              0.0009035
                     73,                0.50359,                 0.4039,                0.92635,                0.90726,                0.86767,                0.90555,                0.71225,                0.95041,                0.73443,                 1.1515,             0.00089855,             0.00089855,             0.00089855
                     74,                0.52001,                0.38709,                0.91325,                0.96113,                0.83338,                0.90328,                0.71692,                0.95145,                0.73185,                 1.1448,              0.0008936,              0.0008936,              0.0008936
                     75,                0.49409,                0.39108,                0.92631,                 0.9525,                 0.8131,                0.90374,                0.71153,                0.89864,                0.69424,                 1.1203,             0.00088865,             0.00088865,             0.00088865
                     76,                 0.4547,                0.35323,                0.89895,                0.94056,                0.80187,                0.88484,                0.71148,                 0.8809,                0.68569,                 1.1079,              0.0008837,              0.0008837,              0.0008837
                     77,                 0.5143,                0.40291,                0.94085,                0.94138,                0.80943,                0.88483,                0.71025,                 0.8996,                0.67688,                 1.1278,             0.00087875,             0.00087875,             0.00087875
                     78,                0.49017,                0.36942,                0.90631,                0.95822,                0.80302,                0.88656,                0.69537,                0.90604,                0.65375,                 1.1309,              0.0008738,              0.0008738,              0.0008738
                     79,                0.50695,                0.39351,                0.94019,                0.93253,                0.78864,                0.88054,                0.70077,                 0.8891,                 0.6845,                 1.1282,             0.00086885,             0.00086885,             0.00086885
                     80,                0.49256,                0.37515,                0.90737,                0.94349,                 0.7346,                0.84472,                0.69214,                 0.8801,                 0.7299,                 1.1184,              0.0008639,              0.0008639,              0.0008639
                     81,                0.47331,                0.37273,                0.92658,                0.94271,                0.74395,                0.85006,                 0.6758,                0.86279,                0.77241,                 1.1065,             0.00085895,             0.00085895,             0.00085895
                     82,                  0.491,                0.40745,                0.92999,                0.94128,                0.72229,                0.84395,                 0.6822,                0.85633,                0.80253,                 1.0897,               0.000854,               0.000854,               0.000854
                     83,                0.50745,                0.38351,                 0.9199,                0.90767,                0.80652,                0.86438,                0.70477,                0.85055,                0.78476,                 1.0847,             0.00084905,             0.00084905,             0.00084905
                     84,                0.51041,                0.39526,                0.91837,                 0.8929,                0.83592,                0.88849,                0.71957,                0.88196,                0.68211,                 1.0825,              0.0008441,              0.0008441,              0.0008441
                     85,                0.47713,                0.36551,                0.90566,                0.86967,                 0.8386,                0.90138,                0.73216,                0.86339,                0.65114,                 1.0744,             0.00083915,             0.00083915,             0.00083915
                     86,                0.49981,                0.36386,                0.94213,                0.88361,                0.88308,                0.90705,                0.73685,                0.87691,                0.63456,                 1.0957,              0.0008342,              0.0008342,              0.0008342
                     87,                0.47877,                0.37562,                0.92261,                0.91208,                0.83936,                 0.9049,                0.72244,                0.87856,                 0.6236,                 1.0985,             0.00082925,             0.00082925,             0.00082925
                     88,                 0.5107,                0.39075,                0.91634,                0.90716,                0.86354,                0.91392,                0.71938,                0.87737,                0.60055,                 1.1128,              0.0008243,              0.0008243,              0.0008243
                     89,                0.52392,                0.41549,                0.93265,                0.88281,                0.85537,                0.90584,                0.72684,                0.84492,                0.58243,                 1.0924,             0.00081935,             0.00081935,             0.00081935
                     90,                0.50053,                0.40117,                0.94975,                0.93114,                0.84731,                0.91429,                0.72782,                0.86113,                0.59153,                 1.0876,              0.0008144,              0.0008144,              0.0008144
                     91,                0.46406,                0.36377,                0.90237,                0.92875,                0.84516,                0.90865,                0.73312,                 0.8867,                0.60633,                 1.1066,             0.00080945,             0.00080945,             0.00080945
